,threatInfo.threatId,threatInfo.threatName,threatInfo.classification,threatInfo.confidenceLevel,threatInfo.analystVerdict,threatInfo.createdAt,threatInfo.identifiedAt,threatInfo.updatedAt,indicatorList,indicatorListString,threatInfo.detectionType,action,threatInfo.sha1,engine
8374,1872443477240842323,ANONYMIZED,Malware,malicious,true_positive,2024-01-28T11:30:56.644671Z,2024-01-28T11:30:56.555000Z,2024-01-28T12:48:11.101123Z,"[1, 31, 32, 33]",1 31 32 33,static,quarantine,ANONYMIZED,On-Write Static AI
5035,1759609516737669716,ANONYMIZED,Malware,suspicious,false_positive,2023-08-25T19:10:00.376624Z,2023-08-25T19:10:00.275918Z,2023-08-25T19:54:40.039393Z,[229],229,dynamic,,ANONYMIZED,Application Control
7116,1854178845186483653,ANONYMIZED,Malware,malicious,true_positive,2024-01-03T06:42:22.832467Z,2024-01-03T06:42:21.407000Z,2024-01-03T06:52:02.609529Z,"[1, 32, 33, 25, 24, 23, 6]",1 6 23 24 25 32 33,static,quarantine,ANONYMIZED,On-Write Static AI
1516,1652109563827420679,ANONYMIZED,Malware,suspicious,false_positive,2023-03-30T11:26:47.362161Z,2023-03-30T11:26:43.628000Z,2023-03-30T12:52:21.719698Z,"[723, 351, 130, 725, 427, 224, 437, 293]",130 224 293 351 427 437 723 725,dynamic,,ANONYMIZED,Behavioral AI
7756,1860177087723512897,ANONYMIZED,Malware,malicious,true_positive,2024-01-11T13:19:49.060226Z,2024-01-11T13:19:47.784000Z,2024-01-11T14:42:44.784371Z,"[1273, 1163, 498, 293, 427]",293 427 498 1163 1273,dynamic,remediate,ANONYMIZED,Manual
647,1631864703593372162,ANONYMIZED,Malware,suspicious,false_positive,2023-03-02T13:03:51.956067Z,2023-03-02T13:03:44.783000Z,2023-03-02T17:17:09.568572Z,"[62, 171, 674]",62 171 674,dynamic,,ANONYMIZED,"Documents, Scripts"
921,1637884970488908761,ANONYMIZED,Malware,suspicious,true_positive,2023-03-10T20:25:03.686992Z,2023-03-10T20:25:01.075000Z,2023-03-10T20:48:47.040120Z,"[1, 6]",1 6,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
1880,1666337397937104564,ANONYMIZED,Malware,suspicious,true_positive,2023-04-19T02:34:57.358257Z,2023-04-19T02:34:56.961000Z,2023-04-19T04:05:22.276954Z,"[1, 31, 29, 21, 15, 12]",1 12 15 21 29 31,static,kill,ANONYMIZED,On-Write Static AI - Suspicious
7919,1865197506098346585,ANONYMIZED,Malware,malicious,false_positive,2024-01-18T11:34:29.563777Z,2024-01-18T11:34:29.294000Z,2024-01-18T12:57:00.236904Z,"[817, 199, 293]",199 293 817,dynamic,unquarantine,ANONYMIZED,Behavioral AI
12229,1930354923571434153,ANONYMIZED,Malware,malicious,true_positive,2024-04-17T09:10:39.017500Z,2024-04-17T09:10:38.607000Z,2024-04-17T10:35:57.578924Z,"[29, 12]",12 29,static,quarantine,ANONYMIZED,On-Write Static AI
704,1634464579904616086,ANONYMIZED,Malware,suspicious,false_positive,2023-03-06T03:09:21.364973Z,2023-03-06T03:09:13.534000Z,2023-03-06T03:16:24.088757Z,"[62, 171]",62 171,dynamic,,ANONYMIZED,"Documents, Scripts"
8,1896136404999002610,ANONYMIZED,Malware,suspicious,false_positive,2024-03-01T04:04:33.730189Z,2024-03-01T04:04:33.655713Z,2024-03-01T04:16:50.039062Z,"[231, 688]",231 688,dynamic,,ANONYMIZED,Behavioral AI
7393,1855812079822891606,ANONYMIZED,Malware,suspicious,true_positive,2024-01-05T12:47:19.574250Z,2024-01-05T12:40:25.892000Z,2024-01-05T13:15:39.077955Z,"[1, 31, 30, 29, 33, 12]",1 12 29 30 31 33,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
